Jeff,DENHAM,Representative  Jeff DENHAM,1967- ,Representative,Republican,CA,114
Charles W.,DENT,Representative  Charles W. DENT,1960- ,Representative,Republican,PA,114
Ron,DeSANTIS,Representative  Ron DeSANTIS,1978- ,Representative,Republican,FL,114
Mark James,DESAULNIER,Representative  Mark James DESAULNIER,1952- ,Representative,Democrat,CA,114
Scott,DESJARLAIS,Representative  Scott DESJARLAIS,1964- ,Representative,Republican,TN,114
Theodore E. (Ted),DEUTCH,Representative  Theodore E. (Ted) DEUTCH,1966- ,Representative,Democrat,FL,114
Mario,DIAZ-BALART,Representative  Mario DIAZ-BALART,1961- ,Representative,Republican,FL,114
Debbie,DINGELL,Representative  Debbie DINGELL,1953- ,Representative,Democrat,MI,114
Lloyd Alton,DOGGETT II,Representative  Lloyd Alton DOGGETT II,1946- ,Representative,Democrat,TX,114
Robert,DOLD,Representative  Robert DOLD,1969- ,Representative,Republican,IL,114
Daniel M.,DONOVAN Jr.,Representative  Daniel M. DONOVAN Jr.,1956- ,Representative,Republican,NY,114
Michael F.,DOYLE,Representative  Michael F. DOYLE,1953- ,Representative,Democrat,PA,114
Tammy,DUCKWORTH,Representative  Tammy DUCKWORTH,1968- ,Representative,Democrat,IL,114
Sean,DUFFY,Representative  Sean DUFFY,1971- ,Representative,Republican,WI,114
Jeff,DUNCAN,Representative  Jeff DUNCAN,1966- ,Representative,Republican,SC,114
John J.,DUNCAN Jr.,Representative  John J. DUNCAN Jr.,1947- ,Representative,Republican,TN,114
Donna F.,EDWARDS,Representative  Donna F. EDWARDS,1958- ,Representative,Democrat,MD,114
Keith,ELLISON,Representative  Keith ELLISON,1963- ,Representative,Democrat,MN,114
Renee,ELLMERS,Representative  Renee ELLMERS,1964- ,Representative,Republican,NC,114
Thomas Earl II,EMMER,Representative  Thomas Earl II EMMER,1961- ,Representative,Republican,MN,114
Eliot Lance,ENGEL,Representative  Eliot Lance ENGEL,1947- ,Representative,Democrat,NY,114
Anna Georges,ESHOO,Representative  Anna Georges ESHOO,1942- ,Representative,Democrat,CA,114
Elizabeth,ESTY,Representative  Elizabeth ESTY,1959- ,Representative,Democrat,CT,114
Blake,FARENTHOLD,Representative  Blake FARENTHOLD,1961- ,Representative,Republican,TX,114
Sam,FARR,Representative  Sam FARR,1941- ,Representative,Democrat,CA,114
Chaka,FATTAH,Representative  Chaka FATTAH,1956- ,Representative,Democrat,PA,114
Stephen Lee,FINCHER,Representative  Stephen Lee FINCHER,1973- ,Representative,Republican,TN,114
Michael G.,FITZPATRICK,Representative  Michael G. FITZPATRICK,1963- ,Representative,Republican,PA,114
Chuck,FLEISCHMANN,Representative  Chuck FLEISCHMANN,1962- ,Representative,Republican,TN,114
John,FLEMING,Representative  John FLEMING,1951- ,Representative,Republican,LA,114
Bill,FLORES,Representative  Bill FLORES,1954- ,Representative,Republican,TX,114
J. Randy,FORBES,Representative  J. Randy FORBES,1952- ,Representative,Republican,VA,114
Jeff,FORTENBERRY,Representative  Jeff FORTENBERRY,1960- ,Representative,Republican,NE,114
Bill,FOSTER,Representative  Bill FOSTER,1955- ,Representative,Democrat,IL,114
Virginia Ann,FOXX,Representative  Virginia Ann FOXX,1943- ,Representative,Republican,NC,114
Lois,FRANKEL,Representative  Lois FRANKEL,1948- ,Representative,Democrat,FL,114
Trent,FRANKS,Representative  Trent FRANKS,1957- ,Representative,Republican,AZ,114
Rodney P.,FRELINGHUYSEN,Representative  Rodney P. FRELINGHUYSEN,1946- ,Representative,Republican,NJ,114
Marcia L.,FUDGE,Representative  Marcia L. FUDGE,1952- ,Representative,Democrat,OH,114
Tulsi,GABBARD,Representative  Tulsi GABBARD,1981- ,Representative,Democrat,HI,114
Ruben,GALLEGO,Representative  Ruben GALLEGO,1979- ,Representative,Democrat,AZ,114
John,GARAMENDI,Representative  John GARAMENDI,1945- ,Representative,Democrat,CA,114
Scott,GARRETT,Representative  Scott GARRETT,1959- ,Representative,Republican,NJ,114
Bob,GIBBS,Representative  Bob GIBBS,1954- ,Representative,Republican,OH,114
Christopher,GIBSON,Representative  Christopher GIBSON,1964- ,Representative,Republican,NY,114
Louie,GOHMERT,Representative  Louie GOHMERT,1953- ,Representative,Republican,TX,114
Robert William,GOODLATTE,Representative  Robert William GOODLATTE,1952- ,Representative,Republican,VA,114
Paul,GOSAR,Representative  Paul GOSAR,1958- ,Representative,Republican,AZ,114
Trey,GOWDY,Representative  Trey GOWDY,1964- ,Representative,Republican,SC,114
Gwendolyn (Gwen),GRAHAM,Representative  Gwendolyn (Gwen) GRAHAM,1963- ,Representative,Democrat,FL,114
Kay,GRANGER,Representative  Kay GRANGER,1943- ,Representative,Republican,TX,114
Garret,GRAVES,Representative  Garret GRAVES,1972- ,Representative,Republican,LA,114
Samuel,GRAVES,Representative  Samuel GRAVES,1963- ,Representative,Republican,MO,114
Tom,GRAVES,Representative  Tom GRAVES,1970- ,Representative,Republican,GA,114
Alan,GRAYSON,Representative  Alan GRAYSON,1958- ,Representative,Democrat,FL,114
Al,GREEN,Representative  Al GREEN,1947- ,Representative,Democrat,TX,114
Raymond Eugene (Gene),GREEN,Representative  Raymond Eugene (Gene) GREEN,1947- ,Representative,Democrat,TX,114
H. Morgan,GRIFFITH,Representative  H. Morgan GRIFFITH,1958- ,Representative,Republican,VA,114
Raul M.,GRIJALVA,Representative  Raul M. GRIJALVA,1948- ,Representative,Democrat,AZ,114
Glenn,GROTHMAN,Representative  Glenn GROTHMAN,1955- ,Representative,Republican,WI,114
Frank,GUINTA,Representative  Frank GUINTA,1970- ,Representative,Republican,NH,114
Brett,GUTHRIE,Representative  Brett GUTHRIE,1964- ,Representative,Republican,KY,114
Luis V.,GUTIeRREZ,Representative  Luis V. GUTIeRREZ,1953- ,Representative,Democrat,IL,114
Janice,HAHN,Representative  Janice HAHN,1952- ,Representative,Democrat,CA,114
Richard,HANNA,Representative  Richard HANNA,1951- ,Representative,Republican,NY,114
Cresent Leo,HARDY,Representative  Cresent Leo HARDY,1957- ,Representative,Republican,NV,114
Gregg,HARPER,Representative  Gregg HARPER,1956- ,Representative,Republican,MS,114
Andy,HARRIS,Representative  Andy HARRIS,1957- ,Representative,Republican,MD,114
Vicky,HARTZLER,Representative  Vicky HARTZLER,1960- ,Representative,Republican,MO,114
Alcee Lamar,HASTINGS,Representative  Alcee Lamar HASTINGS,1936- ,Representative,Democrat,FL,114
Denny,HECK,Representative  Denny HECK,1952- ,Representative,Democrat,WA,114
Joe,HECK,Representative  Joe HECK,1961- ,Representative,Republican,NV,114
Jeb,HENSARLING,Representative  Jeb HENSARLING,1957- ,Representative,Republican,TX,114
Jaime,HERRERA BEUTLER,Representative  Jaime HERRERA BEUTLER,1978- ,Representative,Republican,WA,114
Jody Brownlow,HICE,Representative  Jody Brownlow HICE,1960- ,Representative,Republican,GA,114
Brian,HIGGINS,Representative  Brian HIGGINS,1959- ,Representative,Democrat,NY,114
French,HILL,Representative  French HILL,1956- ,Representative,Republican,AR,114
James A.,HIMES,Representative  James A. HIMES,1966- ,Representative,Democrat,CT,114
Ruben,HINOJOSA,Representative  Ruben HINOJOSA,1940- ,Representative,Democrat,TX,114
George E.B.,HOLDING,Representative  George E.B. HOLDING,1968- ,Representative,Republican,NC,114
Mike,HONDA,Representative  Mike HONDA,1941- ,Representative,Democrat,CA,114
Steny Hamilton,HOYER,Representative  Steny Hamilton HOYER,1939- ,Representative,Democrat,MD,114
Richard,HUDSON,Representative  Richard HUDSON,1971- ,Representative,Republican,NC,114
Tim,HUELSKAMP,Representative  Tim HUELSKAMP,1968- ,Representative,Republican,KS,114
Jared,HUFFMAN,Representative  Jared HUFFMAN,1964- ,Representative,Democrat,CA,114
Bill,HUIZENGA,Representative  Bill HUIZENGA,1969- ,Representative,Republican,MI,114
Randy,HULTGREN,Representative  Randy HULTGREN,1966- ,Representative,Republican,IL,114
Duncan Duane,HUNTER,Representative  Duncan Duane HUNTER,1976- ,Representative,Republican,CA,114
William Ballard,HURD,Representative  William Ballard HURD,1977- ,Representative,Republican,TX,114
Robert,HURT,Representative  Robert HURT,1969- ,Representative,Republican,VA,114
Steve,ISRAEL,Representative  Steve ISRAEL,1958- ,Representative,Democrat,NY,114
Darrell,ISSA,Representative  Darrell ISSA,1953- ,Representative,Republican,CA,114
Sheila,JACKSON LEE,Representative  Sheila JACKSON LEE,1950- ,Representative,Democrat,TX,114
Hakeem,JEFFRIES,Representative  Hakeem JEFFRIES,1970- ,Representative,Democrat,NY,114
Evan H.,JENKINS,Representative  Evan H. JENKINS,1960- ,Representative,Republican,WV,114
Lynn,JENKINS,Representative  Lynn JENKINS,1963- ,Representative,Republican,KS,114
Bill,JOHNSON,Representative  Bill JOHNSON,1954- ,Representative,Republican,OH,114
Eddie Bernice,JOHNSON,Representative  Eddie Bernice JOHNSON,1935- ,Representative,Democrat,TX,114
Hank,JOHNSON,Representative  Hank JOHNSON,1954- ,Representative,Democrat,GA,114
Sam,JOHNSON,Representative  Sam JOHNSON,1930- ,Representative,Republican,TX,114
David W.,JOLLY,Representative  David W. JOLLY,1972- ,Representative,Republican,FL,114
Walter Beaman,JONES Jr.,Representative  Walter Beaman JONES Jr.,1943- ,Representative,Republican,NC,114
Jim,JORDAN,Representative  Jim JORDAN,1964- ,Representative,Republican,OH,114
David,JOYCE,Representative  David JOYCE,1957- ,Representative,Republican,OH,114
Marcia Carolyn (Marcy),KAPTUR,Representative  Marcia Carolyn (Marcy) KAPTUR,1946- ,Representative,Democrat,OH,114
John,KATKO,Representative  John KATKO,1962- ,Representative,Republican,NY,114
William R.,KEATING,Representative  William R. KEATING,1952- ,Representative,Democrat,MA,114
Mike,KELLY,Representative  Mike KELLY,1948- ,Representative,Republican,PA,114
Robin L.,KELLY,Representative  Robin L. KELLY,1956- ,Representative,Democrat,IL,114
Trent,KELLY,Representative  Trent KELLY,1966- ,Representative,Republican,MS,114
Joseph P. III,KENNEDY,Representative  Joseph P. III KENNEDY,1980- ,Representative,Democrat,MA,114
Dan,KILDEE,Representative  Dan KILDEE,1958- ,Representative,Democrat,MI,114
Derek,KILMER,Representative  Derek KILMER,1974- ,Representative,Democrat,WA,114
Ron,KIND,Representative  Ron KIND,1963- ,Representative,Democrat,WI,114
Peter T.,KING,Representative  Peter T. KING,1944- ,Representative,Republican,NY,114
Steve,KING,Representative  Steve KING,1949- ,Representative,Republican,IA,114
Adam,KINZINGER,Representative  Adam KINZINGER,1978- ,Representative,Republican,IL,114
Ann,KIRKPATRICK,Representative  Ann KIRKPATRICK,1950- ,Representative,Democrat,AZ,114
John,KLINE,Representative  John KLINE,1947- ,Representative,Republican,MN,114
Steve,KNIGHT,Representative  Steve KNIGHT,1966- ,Representative,Republican,CA,114
Ann McLane,KUSTER,Representative  Ann McLane KUSTER,1956- ,Representative,Democrat,NH,114
Raul R.,LABRADOR,Representative  Raul R. LABRADOR,1967- ,Representative,Republican,ID,114
Darin,LaHOOD,Representative  Darin LaHOOD,1968- ,Representative,Republican,IL,114
Doug,LaMALFA,Representative  Doug LaMALFA,1960- ,Representative,Republican,CA,114
Doug,LAMBORN,Representative  Doug LAMBORN,1954- ,Representative,Republican,CO,114
Leonard,LANCE,Representative  Leonard LANCE,1952- ,Representative,Republican,NJ,114
James,LANGEVIN,Representative  James LANGEVIN,1964- ,Representative,Democrat,RI,114
Richard Ray (Rick),LARSEN,Representative  Richard Ray (Rick) LARSEN,1965- ,Representative,Democrat,WA,114
John B.,LARSON,Representative  John B. LARSON,1948- ,Representative,Democrat,CT,114
Robert E.,LATTA,Representative  Robert E. LATTA,1956- ,Representative,Republican,OH,114
Brenda L,LAWRENCE,Representative  Brenda L LAWRENCE,1954- ,Representative,Democrat,MI,114
Barbara,LEE,Representative  Barbara LEE,1946- ,Representative,Democrat,CA,114
Sander Martin,LEVIN,Representative  Sander Martin LEVIN,1931- ,Representative,Democrat,MI,114
John R.,LEWIS,Representative  John R. LEWIS,1940- ,Representative,Democrat,GA,114
Ted,LIEU,Representative  Ted LIEU,1969- ,Representative,Democrat,CA,114
Daniel,LIPINSKI,Representative  Daniel LIPINSKI,1966- ,Representative,Democrat,IL,114
Frank A.,LoBIONDO,Representative  Frank A. LoBIONDO,1946- ,Representative,Republican,NJ,114
Dave,LOEBSACK,Representative  Dave LOEBSACK,1952- ,Representative,Democrat,IA,114
Zoe,LOFGREN,Representative  Zoe LOFGREN,1947- ,Representative,Democrat,CA,114
Billy,LONG,Representative  Billy LONG,1955- ,Representative,Republican,MO,114
Barry D.,LOUDERMILK,Representative  Barry D. LOUDERMILK,1963- ,Representative,Republican,GA,114
Ludmya Bourdeau (Mia),LOVE,Representative  Ludmya Bourdeau (Mia) LOVE,1975- ,Representative,Republican,UT,114
Alan,LOWENTHAL,Representative  Alan LOWENTHAL,1941- ,Representative,Democrat,CA,114
Nita M.,LOWEY,Representative  Nita M. LOWEY,1937- ,Representative,Democrat,NY,114
Frank D.,LUCAS,Representative  Frank D. LUCAS,1960- ,Representative,Republican,OK,114
Blaine,LUETKEMEYER,Representative  Blaine LUETKEMEYER,1952- ,Representative,Republican,MO,114
Michelle,LUJAN GRISHAM,Representative  Michelle LUJAN GRISHAM,1959- ,Representative,Democrat,NM,114
Ben Ray,LUJAN,Representative  Ben Ray LUJAN,1972- ,Representative,Democrat,NM,114
Cynthia M.,LUMMIS,Representative  Cynthia M. LUMMIS,1954- ,Representative,Republican,WY,114
Stephen F.,LYNCH,Representative  Stephen F. LYNCH,1955- ,Representative,Democrat,MA,114
Thomas Charles,MacARTHUR,Representative  Thomas Charles MacARTHUR,1960- ,Representative,Republican,NJ,114
Carolyn Bosher,MALONEY,Representative  Carolyn Bosher MALONEY,1946- ,Representative,Democrat,NY,114
Sean Patrick,MALONEY,Representative  Sean Patrick MALONEY,1966- ,Representative,Democrat,NY,114
Kenny,MARCHANT,Representative  Kenny MARCHANT,1951- ,Representative,Republican,TX,114
Thomas A.,MARINO,Representative  Thomas A. MARINO,1952- ,Representative,Republican,PA,114
Thomas,MASSIE,Representative  Thomas MASSIE,1971- ,Representative,Republican,KY,114
Doris,MATSUI,Representative  Doris MATSUI,1944- ,Representative,Democrat,CA,114
Kevin,MCCARTHY,Representative  Kevin MCCARTHY,1965- ,Representative,Republican,CA,114
Michael T.,McCAUL,Representative  Michael T. McCAUL,1962- ,Representative,Republican,TX,114
Tom,McCLINTOCK,Representative  Tom McCLINTOCK,1956- ,Representative,Republican,CA,114
Betty,McCOLLUM,Representative  Betty McCOLLUM,1954- ,Representative,Democrat,MN,114
James A.,McDERMOTT,Representative  James A. McDERMOTT,1936- ,Representative,Democrat,WA,114
James P.,McGOVERN,Representative  James P. McGOVERN,1959- ,Representative,Democrat,MA,114
Patrick T.,McHENRY,Representative  Patrick T. McHENRY,1975- ,Representative,Republican,NC,114
David,McKINLEY,Representative  David McKINLEY,1947- ,Representative,Republican,WV,114
Cathy,McMORRIS RODGERS,Representative  Cathy McMORRIS RODGERS,1969- ,Representative,Republican,WA,114
Jerry,McNERNEY,Representative  Jerry McNERNEY,1951- ,Representative,Democrat,CA,114
Martha,McSALLY,Representative  Martha McSALLY,1966- ,Representative,Republican,AZ,114
Mark,MEADOWS,Representative  Mark MEADOWS,1959- ,Representative,Republican,NC,114
Patrick,MEEHAN,Representative  Patrick MEEHAN,1955- ,Representative,Republican,PA,114
Gregory W.,MEEKS,Representative  Gregory W. MEEKS,1953- ,Representative,Democrat,NY,114
Grace,MENG,Representative  Grace MENG,1975- ,Representative,Democrat,NY,114
Luke,MESSER,Representative  Luke MESSER,1969- ,Representative,Republican,IN,114
John L.,MICA,Representative  John L. MICA,1943- ,Representative,Republican,FL,114
Candice S.,MILLER,Representative  Candice S. MILLER,1954- ,Representative,Republican,MI,114
Jefferson B. (Jeff),MILLER,Representative  Jefferson B. (Jeff) MILLER,1959- ,Representative,Republican,FL,114
John,MOOLENAAR,Representative  John MOOLENAAR,1961- ,Representative,Republican,MI,114
Alex X.,MOONEY,Representative  Alex X. MOONEY,1971- ,Representative,Republican,WV,114
Gwendolynne S. (Gwen),MOORE,Representative  Gwendolynne S. (Gwen) MOORE,1951- ,Representative,Democrat,WI,114
Seth,MOULTON,Representative  Seth MOULTON,1978- ,Representative,Democrat,MA,114
Markwayne,MULLIN,Representative  Markwayne MULLIN,1977- ,Representative,Republican,OK,114
Mick,MULVANEY,Representative  Mick MULVANEY,1967- ,Representative,Republican,SC,114
Patrick,MURPHY,Representative  Patrick MURPHY,1983- ,Representative,Democrat,FL,114
Timothy,MURPHY,Representative  Timothy MURPHY,1952- ,Representative,Republican,PA,114
Jerrold Lewis,NADLER,Representative  Jerrold Lewis NADLER,1947- ,Representative,Democrat,NY,114
Grace Flores,NAPOLITANO,Representative  Grace Flores NAPOLITANO,1936- ,Representative,Democrat,CA,114
Richard Edmund,NEAL,Representative  Richard Edmund NEAL,1949- ,Representative,Democrat,MA,114
Randy,NEUGEBAUER,Representative  Randy NEUGEBAUER,1949- ,Representative,Republican,TX,114
Daniel Milton,NEWHOUSE,Representative  Daniel Milton NEWHOUSE,1955- ,Representative,Republican,WA,114
Kristi,NOEM,Representative  Kristi NOEM,1971- ,Representative,Republican,SD,114
Richard Michael,NOLAN,Representative  Richard Michael NOLAN,1943- ,Representative,Democrat,MN,114
Donald,NORCROSS,Representative  Donald NORCROSS,1958- ,Representative,Democrat,NJ,114
Richard,NUGENT,Representative  Richard NUGENT,1951- ,Representative,Republican,FL,114
Devin,NUNES,Representative  Devin NUNES,1973- ,Representative,Republican,CA,114
Alan,NUNNELEE,Representative  Alan NUNNELEE,1958-2015,Representative,Republican,MS,114
Pete,OLSON,Representative  Pete OLSON,1962- ,Representative,Republican,TX,114
Beto,O'ROURKE,Representative  Beto O'ROURKE,1972- ,Representative,Democrat,TX,114
Steven,PALAZZO,Representative  Steven PALAZZO,1970- ,Representative,Republican,MS,114
Frank,PALLONE Jr.,Representative  Frank PALLONE Jr.,1951- ,Representative,Democrat,NJ,114
Gary James,PALMER,Representative  Gary James PALMER,1954- ,Representative,Republican,AL,114
William J.,PASCRELL Jr.,Representative  William J. PASCRELL Jr.,1937- ,Representative,Democrat,NJ,114
Erik,PAULSEN,Representative  Erik PAULSEN,1965- ,Representative,Republican,MN,114
Donald,PAYNE Jr.,Representative  Donald PAYNE Jr.,1958- ,Representative,Democrat,NJ,114
Stevan,PEARCE,Representative  Stevan PEARCE,1947- ,Representative,Republican,NM,114
Nancy,PELOSI,Representative  Nancy PELOSI,1940- ,Representative,Democrat,CA,114
Ed,PERLMUTTER,Representative  Ed PERLMUTTER,1953- ,Representative,Democrat,CO,114
Scott,PERRY,Representative  Scott PERRY,1962- ,Representative,Republican,PA,114
Scott,PETERS,Representative  Scott PETERS,1958- ,Representative,Democrat,CA,114
Collin Clark,PETERSON,Representative  Collin Clark PETERSON,1944- ,Representative,Democrat,MN,114
